prompt,response
What is the role of `centralized policy enforcement` in SD-WAN?,"Policies are defined once on the orchestrator/controller and automatically pushed to all relevant Edge devices, ensuring consistency."
What is the difference between an `active-active` and `active-passive` link configuration in SD-WAN?,Active-active uses multiple links simultaneously. Active-passive uses one link and switches to another only upon failure.
How does SD-WAN help reduce branch hardware?,"By consolidating routing, security, and WAN optimization functions into a single SD-WAN Edge appliance, often eliminating the need for multiple discrete devices."
What is `Service Chaining` in SD-WAN?,"The ability to steer specific traffic flows through a sequence of network services (e.g., firewall, IPS, web proxy) either on-premises or in the cloud."
What is the concept of a `VPN fabric` in SD-WAN?,"The mesh of secure, encrypted tunnels formed between all SD-WAN Edge devices across the overlay network."
What are common challenges during SD-WAN migration?,"Careful planning of the phased rollout, ensuring seamless connectivity during transition, and integrating with existing network infrastructure."
What is the role of `template-based configuration` in SD-WAN?,"It allows administrators to define standard configurations for different site types (e.g., small branch, large branch) and apply them rapidly and consistently."
How does SD-WAN support `multi-homing`?,"By actively using multiple WAN links from different providers simultaneously, providing redundancy and increased bandwidth."
What is an `SD-WAN Orchestrator` (e.g.  Cisco vManage)?,"An SD-WAN Orchestrator (e.g., Cisco vManage) is the central management platform that provides a single pane of glass for automated configuration, policy enforcement, monitoring, and troubleshooting of the entire distributed SD-WAN network."
What is `SD-WAN as a Service`?,"A deployment model where the SD-WAN infrastructure and management are provided by a service provider, reducing the customer's operational burden."
What is a `cloud on-ramp` in SD-WAN?,"A feature that provides optimized, direct, and secure connectivity from the SD-WAN fabric to public cloud providers."
What is `application visibility` in SD-WAN?,"The ability to identify and monitor specific applications and their performance metrics across the WAN, providing insights for optimization."
How does SD-WAN handle `Dynamic Path Control`?,It continuously monitors the performance of available WAN links and dynamically steers application traffic over the path that best meets its SLA requirements.
What is the benefit of `tunneling` in SD-WAN?,"It creates a logical overlay network that is independent of the underlying physical transport, allowing flexibility and security."
What is the `control plane` in SD-WAN?,"The logical plane responsible for making routing and policy decisions, managed by the centralized controller."
What is the `data plane` in SD-WAN?,"The plane responsible for forwarding actual user traffic, implemented by the SD-WAN Edge devices."
What is the `management plane` in SD-WAN?,"The plane responsible for configuration, monitoring, and administration of the SD-WAN infrastructure, typically via the orchestrator."
How do Arista Agni and VMware Velocloud generally approach SD-WAN?,"They are both cloud-native solutions, often emphasizing ease of deployment, cloud-delivered services, and strong application performance optimization."
What makes Arista Agni's approach noteworthy?,"Its focus on simplifying branch connectivity, leveraging cloud-native principles, and integration with Arista's broader network stack."
What is a key feature of VMware VeloCloud?,"Its distributed network of cloud gateways (VeloCloud Gateways) for optimized cloud and Internet access, and its ability to aggregate multiple links effectively."
What is `cloud-native` SD-WAN?,"SD-WAN solutions designed from the ground up to be deployed, managed, and consumed as cloud services, leveraging scalability and elasticity of the cloud."
How does SD-WAN improve `network agility`?,"By enabling rapid deployment of new sites, quick adjustments to network policies, and seamless integration of new services without complex manual configurations."
What is the role of `analytics` in SD-WAN?,"To collect and analyze network performance data, application usage, and security events, providing insights for optimization and troubleshooting."
What is `DPI` (Deep Packet Inspection) in SD-WAN?,"A technology used by SD-WAN to identify applications by looking beyond just IP addresses and port numbers, enabling granular policy enforcement."
What is `SD-WAN for home users` or SOHO?,"Simplified SD-WAN solutions or features targeted at small offices/home offices to provide secure, optimized connectivity for remote workers."
What is the difference between SD-WAN and SDN (Software-Defined Networking)?,SDN is a broader architectural concept for centrally controlling network infrastructure. SD-WAN is a specific application of SDN principles to the WAN domain.
Can SD-WAN improve video conferencing quality?,"Yes, by prioritizing video traffic, sending it over the best performing links, and using techniques like FEC or packet duplication."
How does SD-WAN handle security for `direct-to-cloud` access?,"It can integrate cloud-based security services (e.g., CASB, SWG, ZTNA) or leverage built-in NGFW capabilities on the Edge device."
What is `WAN optimization` in the context of SD-WAN?,"Features like compression, caching, and protocol optimization that improve application performance over the WAN, often integrated into the SD-WAN solution."
What is the benefit of `orchestration` in SD-WAN?,"It automates the entire lifecycle of the SD-WAN network, from deployment to ongoing management and policy updates."
What is the `last mile` problem in WANs and how does SD-WAN help?,The challenge of unreliable or expensive local loop connections. SD-WAN can bond multiple cheaper last-mile links to improve reliability and performance.
What is the role of `NetFlow/IPFIX` in SD-WAN analytics?,"It provides detailed flow-level information on traffic patterns, application usage, and performance metrics for deeper analysis."
What is a `SD-WAN controller cluster`?,"A deployment of multiple controllers working together for high availability and scalability, ensuring continuous operation even if one controller fails."
What is `template management` in SD-WAN?,"Using predefined templates to configure multiple similar sites quickly and consistently, reducing manual errors and deployment time."
How does SD-WAN support `branch simplification`?,By reducing the number of disparate networking and security appliances at the branch and centralizing management.
What does MPLS stand for?,MPLS stands for Multiprotocol Label Switching.
What is the primary function of MPLS?,MPLS is a data-forwarding technology that speeds up and shapes network traffic flow. It's often referred to as a '2.5 layer' technology.
How does MPLS differ from traditional IP routing?,"Instead of using long IP addresses and complex routing table lookups, MPLS uses short, fixed-length labels for forwarding decisions."
What are the main benefits of MPLS?,"Faster forwarding (historically), traffic engineering, support for VPNs (L2 and L3), QoS, and improved network scalability."
What is an LSR in MPLS?,"LSR stands for Label Switch Router, a router that performs label switching (forwarding packets based on labels)."
What is an LER in MPLS?,"LER stands for Label Edge Router (also known as an Edge LSR), a router that sits at the edge of an MPLS domain, adding or removing labels."
What are the two types of LERs?,Ingress LER (adds labels) and Egress LER (removes labels).
What is an MPLS label?,"A short, fixed-length (typically 20-bit) identifier that is inserted into a packet header for forwarding decisions."
Is an MPLS label locally significant or globally significant?,Locally significant. Its meaning is unique to each LSR in the path.
What is an MPLS 'label stack'?,"A set of one or more labels pushed onto a packet, forming a 'stack' where the top label is processed first."
